Name	Effect	CI.L	CI.R	AveExpr	P.Value	adj.P.Val
Fumaric acid, 2TMS; 9	-0.00733	-0.0486	0.034	1.49e-15	0.728	0.91
Stearic acid, TMS; 2	-0.00685	-0.0481	0.0344	-3.73e-15	0.745	0.916
Hydroxylamine; 62	-0.00607	-0.0476	0.0355	-1.41e-15	0.775	0.917
Tartronic acid; 73	0.00553	-0.0354	0.0465	-9.72e-16	0.791	0.917
Serine, 3TMS; 14	0.00516	-0.0361	0.0465	-4.13e-15	0.807	0.917
Oleic acid, TMS; 3	0.00513	-0.0361	0.0464	-1.11e-15	0.807	0.917
Nonanoic acid; 67	0.00459	-0.037	0.0462	-4e-15	0.829	0.917
Myristoleic acid; 65	-0.00449	-0.0456	0.0366	8e-16	0.83	0.917
Pyruvic acid; 31	-0.00432	-0.0457	0.0371	-3.32e-16	0.838	0.917
3-Hydroxybutyric acid, 2TMS; 10	-0.00419	-0.0458	0.0375	-2.02e-15	0.844	0.917
11-Eicosenoic acid; 35	0.00333	-0.0382	0.0449	-7.64e-16	0.875	0.937
Leucine, 2TMS; 19	0.00232	-0.0386	0.0432	1.61e-15	0.911	0.963
Phenylalanine, 2TMS; 13	-0.00201	-0.0435	0.0395	-5.67e-16	0.924	0.963
Bisphenol A; 48	0.00143	-0.0402	0.0431	5.95e-16	0.946	0.964
Eicosapentaenoic acid; 55	0.00121	-0.0393	0.0417	1.74e-15	0.953	0.964
Glycerol; 57	0.000958	-0.0406	0.0425	2.7e-16	0.964	0.964
